ingredient_id,standard_name,category,energy_kj_per_100g,protein_g_per_100g,fat_total_g_per_100g,fat_saturated_g_per_100g,carbohydrate_g_per_100g,sugars_g_per_100g,sodium_mg_per_100g,source,source_note
ING024,peanut roasted, nuts and seeds,2450,25.0,50.0,7.0,16.0,5.0,6,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING025,almond raw, nuts and seeds,2500,21.0,50.0,3.8,9.0,4.5,1,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING026,sesame seed, nuts and seeds,2400,18.0,50.0,7.0,12.0,0.3,11,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING027,apple raw, fruit,220,0.3,0.2,0.0,12.0,10.0,1,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING028,banana raw, fruit,370,1.1,0.3,0.1,20.0,12.0,1,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING029,tomato raw, vegetable,75,0.9,0.2,0.0,3.0,2.6,5,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING030,onion raw, vegetable,170,1.1,0.1,0.0,8.0,4.2,4,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING031,chicken breast raw, meat and poultry,450,23.0,1.9,0.6,0.0,0.0,50,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING032,beef mince raw, meat and poultry,940,19.0,18.0,7.0,0.0,0.0,65,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING033,tuna canned in springwater drained, fish and seafood,480,25.0,1.0,0.3,0.0,0.0,300,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING034,water, beverage,0,0.0,0.0,0.0,0.0,0.0,0,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING035,soy sauce, sauce and condiment,250,8.0,0.1,0.0,5.0,1.0,5700,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING036,tomato sauce, sauce and condiment,450,1.5,0.2,0.0,24.0,20.0,900,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
